,unique_vowels,first_guess,n_tries,won
0,0,25,4.2072,0.9792000000000001
1,1,2815,4.0846962699822384,0.979399644760213
2,2,3331,4.01035124587211,0.9791053737616332
3,3,337,4.0338872403560835,0.9757566765578635
4,4,4,4.0925,0.97
