first_guess,n_tries,last_n_choices,won,unique_vowels
dante,3.57,14.36,1.0,2
crate,3.58,7.09,1.0,2
share,3.59,8.37,1.0,2
trend,3.59,7.71,1.0,1
eulas,3.6,6.23,1.0,3
sharp,3.6,7.97,1.0,1
waits,3.61,12.65,1.0,2
hales,3.62,9.31,1.0,2
plant,3.62,14.04,1.0,1
rites,3.63,7.24,1.0,2
